accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.7705000042915344,0.6769709587097168,0.19875000417232513,2.183605432510376,0.0010000000474974513,1
0.849399983882904,0.42135390639305115,0.5375000238418579,1.5800789594650269,0.0010000000474974513,2
0.8725500106811523,0.3577998876571655,0.7315000295639038,0.72774338722229,0.0010000000474974513,3
0.8876000046730042,0.3143351674079895,0.890250027179718,0.3117346167564392,0.0010000000474974513,4
0.8952500224113464,0.2927003800868988,0.8865000009536743,0.31102949380874634,0.0010000000474974513,5
0.9032999873161316,0.2664136290550232,0.9037500023841858,0.2829371392726898,0.0010000000474974513,6
0.9097999930381775,0.25219592452049255,0.9102500081062317,0.2635132968425751,0.0010000000474974513,7
0.9135000109672546,0.23756667971611023,0.909500002861023,0.2577733099460602,0.0010000000474974513,8
0.9175500273704529,0.22554008662700653,0.9197499752044678,0.2273198962211609,0.0010000000474974513,9
0.921750009059906,0.21315741539001465,0.9150000214576721,0.2391880303621292,0.0010000000474974513,10
