Model,Epochs_Trained,Best_Val_Loss,Best_Val_Accuracy,Final_Train_Loss,Final_Val_Loss,Generalization_Gap,Training_Duration_Sec
Baseline MLP,15,0.3428399860858917,0.8787500262260437,0.2090525180101394,0.4059219658374786,0.19686944782733917,24.5
Deep Regularized CNN,10,0.2273198962211609,0.9197499752044678,0.2131574153900146,0.2391880303621292,0.02603061497211462,191.7
