accuracy,loss,val_accuracy,val_loss,epoch
0.7814000248908997,0.633870005607605,0.8392500281333923,0.4782713055610657,1
0.8438500165939331,0.4382781386375427,0.8550000190734863,0.4116707146167755,2
0.8591499924659729,0.3899467885494232,0.843999981880188,0.4588226079940796,3
0.8713499903678894,0.35527315735816956,0.8572499752044678,0.39609667658805847,4
0.876800000667572,0.33629176020622253,0.8627499938011169,0.3881163001060486,5
0.8846499919891357,0.3142951726913452,0.8600000143051147,0.3795364499092102,6
0.8900499939918518,0.29742610454559326,0.8769999742507935,0.3499581515789032,7
0.8948000073432922,0.2803739011287689,0.8687499761581421,0.370245099067688,8
0.8981999754905701,0.26858049631118774,0.8650000095367432,0.37353357672691345,9
0.904699981212616,0.2551519274711609,0.8672500252723694,0.36983776092529297,10
0.9089499711990356,0.24437424540519714,0.8722500205039978,0.3543020188808441,11
0.911549985408783,0.23712323606014252,0.8765000104904175,0.35202956199645996,12
0.9162999987602234,0.2226991504430771,0.8787500262260437,0.3428399860858917,13
0.9202499985694885,0.21720381081104279,0.8694999814033508,0.38241901993751526,14
0.9203500151634216,0.20905251801013947,0.8667500019073486,0.40592196583747864,15
