Layer_Idx,Layer_Name,Layer_Type,Output_Shape,Parameters,Activation
1,dense_hidden_1,Dense,"(None, 256)",200960,relu
2,dense_hidden_2,Dense,"(None, 128)",32896,relu
3,output_probabilities,Dense,"(None, 10)",1290,softmax
