,precision,recall,f1-score,support
0,0.9085439229843562,0.7294685990338164,0.8092175777063236,1035.0
1,0.5155709342560554,0.7967914438502673,0.6260504201680672,374.0
accuracy,0.7473385379701917,0.7473385379701917,0.7473385379701917,0.7473385379701917
macro avg,0.7120574286202057,0.7631300214420419,0.7176339989371954,1409.0
weighted avg,0.8042345562104849,0.7473385379701917,0.7605983321993627,1409.0
